#EXPORTTYPE:DATA SINGLE
#FILE:2023-12-26_PB2_Astr_0.05%_liquid_v1_25-225_20Kmin_100mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PB2_Astr_0.05%_liquid_v1
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:26.12.2023 10:09
#CORR. FILE:
#TEMPCAL:17-12-2021 14:16
#SENSITIVITY:17-12-2021 14:03
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PB2_Astr_0.05%_liquid_v1
#SAMPLE MASS /mg:22,302
#MATERIAL:
#REFERENCE:ÏÂÑ ïîðîøîê
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:25°C/20.0(K/min)/225°C
#SEGMENT:S1/1
#SEG. 1:25°C/20.0(K/min)/225°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 23.99600;0.00000; 2.818984e-02;3.39243
 24.99600;0.16287;      0.11856;3.39211
 25.99600;0.22890;      0.24610;3.39178
 26.99600;0.28344;      0.36291;3.39144
 27.99600;0.33303;      0.46550;3.39109
 28.99600;0.38005;      0.55409;3.39073
 29.99600;0.42559;      0.62892;3.39036
 30.99600;0.47025;      0.69160;3.38998
 31.99600;0.51437;      0.74368;3.38959
 32.99600;0.55816;      0.78674;3.38919
 33.99600;0.60179;      0.82186;3.38878
 34.99600;0.64533;      0.85029;3.38836
 35.99600;0.68888;      0.87342;3.38793
 36.99600;0.73248;      0.89208;3.38750
 37.99600;0.77619;      0.90665;3.38705
 38.99600;0.82005;      0.91846;3.38659
 39.99600;0.86407;      0.92745;3.38612
 40.99600;0.90827;      0.93424;3.38564
 41.99600;0.95269;      0.93949;3.38515
 42.99600;0.99733;      0.94286;3.38465
 43.99600;1.04222;      0.94505;3.38414
 44.99600;1.08733;      0.94603;3.38362
 45.99600;1.13269;      0.94648;3.38309
 46.99600;1.17829;      0.94635;3.38255
 47.99600;1.22413;      0.94544;3.38200
 48.99600;1.27021;      0.94420;3.38144
 49.99600;1.31652;      0.94242;3.38087
 50.99600;1.36307;      0.94056;3.38029
 51.99600;1.40985;      0.93875;3.37970
 52.99600;1.45685;      0.93656;3.37910
 53.99600;1.50406;      0.93449;3.37849
 54.99600;1.55146;      0.93239;3.37787
 55.99600;1.59906;      0.93030;3.37724
 56.99600;1.64684;      0.92843;3.37660
 57.99600;1.69477;      0.92648;3.37595
 58.99600;1.74286;      0.92480;3.37530
 59.99600;1.79111;      0.92315;3.37463
 60.99600;1.83949;      0.92161;3.37395
 61.99600;1.88801;      0.92025;3.37326
 62.99600;1.93666;      0.91898;3.37256
 63.99600;1.98539;      0.91794;3.37185
 64.99600;2.03420;      0.91718;3.37114
 65.99600;2.08308;      0.91635;3.37041
 66.99600;2.13205;      0.91593;3.36967
 67.99600;2.18109;      0.91547;3.36892
 68.99600;2.23019;      0.91539;3.36816
 69.99600;2.27932;      0.91510;3.36740
 70.99600;2.32850;      0.91498;3.36662
 71.99600;2.37770;      0.91497;3.36583
 72.99600;2.42693;      0.91540;3.36504
 73.99600;2.47618;      0.91590;3.36423
 74.99600;2.52545;      0.91607;3.36341
 75.99600;2.57477;      0.91662;3.36259
 76.99600;2.62413;      0.91695;3.36175
 77.99600;2.67350;      0.91743;3.36091
 78.99600;2.72287;      0.91795;3.36005
 79.99600;2.77226;      0.91861;3.35918
 80.99600;2.82166;      0.91942;3.35831
 81.99600;2.87105;      0.92013;3.35743
 82.99600;2.92042;      0.92081;3.35653
 83.99600;2.96982;      0.92160;3.35563
 84.99600;3.01924;      0.92246;3.35471
 85.99600;3.06868;      0.92297;3.35379
 86.99600;3.11815;      0.92370;3.35286
 87.99600;3.16762;      0.92443;3.35191
 88.99600;3.21707;      0.92523;3.35096
 89.99600;3.26654;      0.92593;3.35000
 90.99600;3.31603;      0.92666;3.34903
 91.99600;3.36553;      0.92719;3.34804
 92.99600;3.41506;      0.92792;3.34705
 93.99600;3.46462;      0.92840;3.34605
 94.99600;3.51420;      0.92891;3.34504
 95.99600;3.56379;      0.92948;3.34402
 96.99600;3.61337;      0.93025;3.34299
 97.99600;3.66298;      0.93100;3.34195
 98.99600;3.71260;      0.93160;3.34090
 99.99600;3.76223;      0.93226;3.33984
100.99600;3.81186;      0.93304;3.33877
101.99600;3.86148;      0.93381;3.33770
102.99600;3.91111;      0.93467;3.33661
103.99600;3.96073;      0.93535;3.33551
104.99600;4.01035;      0.93619;3.33440
105.99600;4.05998;      0.93710;3.33329
106.99600;4.10962;      0.93777;3.33216
107.99600;4.15929;      0.93835;3.33103
108.99600;4.20898;      0.93915;3.32988
109.99600;4.25867;      0.93978;3.32873
110.99600;4.30837;      0.94053;3.32756
111.99600;4.35807;      0.94108;3.32639
112.99600;4.40778;      0.94188;3.32521
113.99600;4.45747;      0.94248;3.32401
114.99600;4.50714;      0.94314;3.32281
115.99600;4.55681;      0.94407;3.32160
116.99600;4.60648;      0.94479;3.32038
117.99600;4.65614;      0.94544;3.31915
118.99600;4.70579;      0.94604;3.31791
119.99600;4.75543;      0.94670;3.31666
120.99600;4.80507;      0.94729;3.31540
121.99600;4.85470;      0.94803;3.31414
122.99600;4.90431;      0.94860;3.31286
123.99600;4.95392;      0.94907;3.31157
124.99600;5.00351;      0.94943;3.31028
125.99600;5.05310;      0.94979;3.30897
126.99600;5.10275;      0.94984;3.30766
127.99600;5.15244;      0.94941;3.30633
128.99600;5.20213;      0.94803;3.30500
129.99600;5.25182;      0.94534;3.30366
130.99600;5.30153;      0.94189;3.30231
131.99600;5.35126;      0.93702;3.30094
132.99600;5.40097;      0.93138;3.29957
133.99600;5.45069;      0.92442;3.29819
134.99600;5.50042;      0.91621;3.29681
135.99600;5.55013;      0.90576;3.29541
136.99600;5.59982;      0.89166;3.29400
137.99600;5.64950;      0.86786;3.29258
138.99600;5.69920;      0.82976;3.29116
139.99600;5.74891;      0.79971;3.28972
140.99600;5.79862;      0.77725;3.28828
