#EXPORTTYPE:DATA SINGLE
#FILE:2023-12-26_PB2_Astr_0.05%_liquid_v1_25-225_3Kmin_100mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PB2_Astr_0.05%_liquid
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:26.12.2023 10:56
#CORR. FILE:
#TEMPCAL:17-12-2021 14:10
#SENSITIVITY:17-12-2021 13:53
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PB2_Astr_0.05%_liquid
#SAMPLE MASS /mg:20,530
#MATERIAL:
#REFERENCE:ÏÂÑ ïîðîøîê
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:25°C/3.0(K/min)/225°C
#SEGMENT:S1/1
#SEG. 1:25°C/3.0(K/min)/225°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 25.09211; 0.00000;-5.088360e-04;3.44331
 26.09211; 0.44824; 9.498654e-02;3.44408
 27.09211; 0.76815;      0.12925;3.44482
 28.09211; 1.07570;      0.13440;3.44553
 29.09211; 1.38882;      0.13316;3.44621
 30.09211; 1.70969;      0.13092;3.44686
 31.09211; 2.03717;      0.12836;3.44748
 32.09211; 2.36844;      0.12738;3.44808
 33.09211; 2.70089;      0.12738;3.44864
 34.09211; 3.03374;      0.12770;3.44918
 35.09211; 3.36703;      0.12737;3.44969
 36.09211; 3.70043;      0.12757;3.45017
 37.09211; 4.03354;      0.12783;3.45063
 38.09211; 4.36631;      0.12814;3.45105
 39.09211; 4.69903;      0.12833;3.45145
 40.09211; 5.03191;      0.12848;3.45181
 41.09211; 5.36482;      0.12846;3.45215
 42.09211; 5.69756;      0.12875;3.45247
 43.09211; 6.03042;      0.12900;3.45275
 44.09211; 6.36378;      0.12883;3.45301
 45.09211; 6.69750;      0.12891;3.45324
 46.09211; 7.03108;      0.12910;3.45344
 47.09211; 7.36450;      0.12936;3.45361
 48.09211; 7.69806;      0.12916;3.45376
 49.09211; 8.03158;      0.12953;3.45388
 50.09211; 8.36511;      0.12967;3.45397
 51.09211; 8.69904;      0.12938;3.45403
 52.09211; 9.03308;      0.12928;3.45407
 53.09211; 9.36669;      0.12965;3.45408
 54.09211; 9.69979;      0.12991;3.45406
 55.09211;10.03275;      0.13012;3.45402
 56.09211;10.36604;      0.12976;3.45395
 57.09211;10.69965;      0.12983;3.45385
 58.09211;11.03313;      0.12995;3.45373
 59.09211;11.36642;      0.12978;3.45358
 60.09211;11.69985;      0.12991;3.45340
 61.09211;12.03374;      0.12974;3.45319
 62.09211;12.36785;      0.12964;3.45296
 63.09211;12.70180;      0.12957;3.45271
 64.09211;13.03520;      0.12957;3.45242
 65.09211;13.36781;      0.13008;3.45212
 66.09211;13.70042;      0.12999;3.45178
 67.09211;14.03396;      0.12906;3.45142
 68.09211;14.36796;      0.12910;3.45103
 69.09211;14.70152;      0.12913;3.45062
 70.09211;15.03460;      0.12905;3.45018
 71.09211;15.36783;      0.12914;3.44972
 72.09211;15.70145;      0.12848;3.44923
 73.09211;16.03490;      0.12855;3.44871
 74.09211;16.36760;      0.12843;3.44817
 75.09211;16.69968;      0.12868;3.44761
 76.09211;17.03204;      0.12823;3.44702
 77.09211;17.36525;      0.12783;3.44640
 78.09211;17.69902;      0.12723;3.44576
 79.09211;18.03280;      0.12714;3.44510
 80.09211;18.36628;      0.12705;3.44441
 81.09211;18.69973;      0.12664;3.44370
 82.09211;19.03352;      0.12626;3.44296
 83.09211;19.36742;      0.12590;3.44220
 84.09211;19.70085;      0.12582;3.44141
 85.09211;20.03360;      0.12514;3.44060
 86.09211;20.36616;      0.12329;3.43976
 87.09211;20.69913;      0.11832;3.43890
 88.09211;21.03220;      0.11093;3.43802
 89.09211;21.36456;      0.10646;3.43711
 90.09211;21.69680;      0.10446;3.43618
 91.09211;22.02977;      0.10188;3.43523
 92.09211;22.36243;      0.10040;3.43425
 93.09211;22.69425; 9.935335e-02;3.43325
 94.09211;23.02669; 9.695605e-02;3.43222
 95.09211;23.36092; 9.445832e-02;3.43118
 96.09211;23.69640; 9.194523e-02;3.43011
 97.09211;24.03164; 9.042609e-02;3.42901
 98.09211;24.36589; 8.940301e-02;3.42790
 99.09211;24.69944; 8.789567e-02;3.42676
100.09211;25.03258; 8.672170e-02;3.42560
101.09211;25.36544; 8.559128e-02;3.42441
102.09211;25.69809; 8.472919e-02;3.42321
103.09211;26.03053; 8.430660e-02;3.42198
104.09211;26.36306; 8.411488e-02;3.42073
105.09211;26.69616; 8.400343e-02;3.41946
106.09211;27.02945; 8.467585e-02;3.41816
107.09211;27.36204; 8.658617e-02;3.41685
108.09211;27.69414; 8.918864e-02;3.41551
109.09211;28.02635; 9.164365e-02;3.41415
110.09211;28.35813; 9.455288e-02;3.41277
111.09211;28.68934; 9.780601e-02;3.41137
112.09211;29.02125; 9.874599e-02;3.40994
113.09211;29.35487; 9.816000e-02;3.40850
114.09211;29.68996; 9.712204e-02;3.40704
115.09211;30.02546; 9.502968e-02;3.40555
